,Unnamed: 0,UserId,Text,Date,ProductId,Helpfullness,Sarcasm,Product,Sentiment
75,75,1309369435728347136,"@nytimesbusiness Amazon's quite....
People of twitter:  We hate this guy and ""his"" store
Amazon: ......
Some guy on… https://t.co/Krd7WQg1yD",2020-09-25,B001E4KFG0,0,1,,-1
76,76,1309369095540928512,"RT @nytimes: John Mackey, the founder of Whole Foods, espouses a kinder, gentler vision of commerce. In an interview with our Corner Office…",2020-09-25,B001E4KFG0,1,1,,1
77,77,1309368233653399553,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
78,78,1309368104313589761,"RT @nytimes: John Mackey, the founder of Whole Foods, espouses a kinder, gentler vision of commerce. In an interview with our Corner Office…",2020-09-25,B001E4KFG0,1,1,,1
79,79,1309367974436859905,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
80,80,1309367457010733056,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
81,81,1309367137732001792,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
82,82,1309366615176146945,"RT @miracle_358: ●MCM（日本産。吸収率も酸化還元電位も大変優秀）
https://t.co/hvTsYJYU5e

●超高濃度マグネシウム（日本産。吸収率が高い）
https://t.co/Rlj5GmsJU0

●トレースミネラル（吸収率が高い）
http…",2020-09-25,B001E4KFG0,1,1,,0
83,83,1309365948651106304,"RT @FatKidDeals: Pick up the Top Rated Ninja 8QT 2 Basket Air Fryer now!

- 2 independent baskets that let you cook 2 foods, 2 ways at the…",2020-09-25,B001E4KFG0,1,1, Fryer,1
84,84,1309365855273222149,"RT @nytimes: John Mackey, the founder of Whole Foods, espouses a kinder, gentler vision of commerce. In an interview with our Corner Office…",2020-09-25,B001E4KFG0,1,1,,1
85,85,1309365462501912576,"RT @nytimes: John Mackey, the founder of Whole Foods, espouses a kinder, gentler vision of commerce. In an interview with our Corner Office…",2020-09-25,B001E4KFG0,1,1,,1
86,86,1309365449113645057,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
87,87,1309365262311981056,"RT @WholeWorkerWFM: There's no legit structure to get Whole Foods TMs, Amazon Shoppers and Flex drivers to work together. 

Their system is…",2020-09-25,B001E4KFG0,1,1,,1
88,88,1309365108246589441,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
89,89,1309364481395367936,"RT @ThatRabbiCohen: A reminder that Whole Foods is owned by Amazon, so when you shop there you are supporting horrific labor practices.

Al…",2020-09-25,B001E4KFG0,1,1,,-1
90,90,1309364035662622725,"RT @FatKidDeals: Pick up the Top Rated Ninja 8QT 2 Basket Air Fryer now!

- 2 independent baskets that let you cook 2 foods, 2 ways at the…",2020-09-25,B001E4KFG0,1,1, Fryer,1
