id,A,B,C,D,E,F,G,H,I,J,K
15194,60,50,50,40,50,40,50,50,30,30,50
15195,60,50,50,50,50,40,50,50,50,50,50
15196,50,50,50,50,50,40,50,50,50,50,50
15197,50,50,50,50,50,40,50,50,50,50,50
15198,50,50,50,50,50,40,50,50,50,50,50
15199,60,50,50,50,50,40,50,50,50,50,50
15200,60,50,50,50,50,40,50,50,50,50,50
15201,60,50,50,50,50,40,50,50,50,50,50
15202,60,60,60,60,70,40,50,50,50,50,60
15203,60,50,50,50,50,40,50,50,50,50,60
15204,60,60,50,50,60,40,50,50,50,50,60
15205,60,60,60,50,60,40,60,50,50,50,60
15206,50,60,60,50,60,40,60,50,50,50,50
15207,50,60,60,50,60,40,60,50,50,50,60
15208,60,60,60,50,60,40,60,90,50,50,60
15209,60,60,60,50,60,40,60,50,50,50,50
15210,60,60,60,50,70,50,60,50,50,50,50
15211,70,70,60,60,80,50,70,100,50,50,70
15212,80,70,60,60,80,60,70,100,50,50,70
15213,60,70,70,60,80,60,70,70,50,50,70
15214,60,70,60,60,80,60,70,60,50,50,70
15215,60,80,60,60,70,70,70,60,50,50,70
15216,60,80,60,60,70,70,70,100,50,50,70
15217,60,70,60,60,80,70,70,70,50,50,70
15218,70,80,60,60,70,70,70,100,50,50,70
15219,60,80,60,60,80,70,80,100,50,50,70
15220,70,80,60,60,80,70,80,60,50,50,60
15221,70,80,60,60,80,70,80,60,50,50,60
15222,70,70,60,60,70,70,80,60,60,60,60
15223,70,70,60,60,70,80,80,60,70,70,70
15224,60,70,60,60,70,70,80,60,60,60,70
15225,60,70,60,60,70,60,80,60,90,90,70
15226,60,70,60,60,70,60,80,60,70,70,70
15227,60,70,60,60,70,60,80,100,70,70,70
15228,60,70,60,60,70,70,80,100,120,120,70
15229,60,70,60,60,70,70,90,100,60,60,70
15230,60,70,60,60,70,70,90,60,70,70,70
15231,80,70,60,60,80,70,90,70,70,70,70
15232,90,80,70,60,80,70,80,100,120,120,70
15233,70,70,60,60,80,70,80,80,60,60,70
15234,70,70,70,60,80,60,80,90,70,70,70
15235,70,80,70,70,80,70,90,80,70,70,70
15236,80,80,70,70,80,70,90,100,70,70,70
15237,80,70,70,60,80,70,90,100,60,60,70
15238,60,60,60,60,70,60,90,80,70,70,70
15239,60,60,60,60,70,60,90,60,100,100,70
15240,60,60,60,60,70,60,90,70,80,80,70
15241,60,60,60,60,70,70,90,80,90,90,70
15242,60,60,60,60,70,80,90,80,70,70,70
15243,80,70,60,70,70,80,90,80,80,80,70
15244,80,70,60,70,70,80,90,100,70,70,70
15245,80,70,60,70,70,70,90,80,70,70,70
15246,80,60,60,60,70,70,90,80,60,60,70
15247,70,60,60,60,70,80,90,80,60,60,90
15248,80,60,60,60,70,80,90,100,80,80,110
15249,80,60,60,60,70,80,90,100,80,80,100
15250,90,60,60,60,70,80,90,90,80,80,100
15251,80,60,60,60,70,80,90,50,70,70,90
15252,70,60,60,60,70,80,90,50,70,70,90
15253,80,60,60,60,70,80,90,50,80,80,90
15254,90,60,60,60,70,80,90,50,50,50,90
15255,90,70,60,60,70,80,90,50,50,50,90
15256,90,70,60,70,70,80,90,50,50,50,90
15257,90,70,60,60,70,80,90,50,50,50,90
15258,80,70,60,60,70,80,90,100,50,50,90
15259,90,70,70,70,80,80,90,60,50,50,90
15260,70,70,70,60,70,80,90,100,80,80,90
15261,60,60,60,60,70,90,90,100,110,110,90
15262,60,60,60,60,70,100,90,90,100,100,90
15263,60,70,60,60,70,90,90,100,100,100,90
15264,70,70,70,60,70,80,90,70,80,80,100
15265,100,70,70,60,70,80,90,100,100,100,100
15266,100,70,70,60,70,90,90,100,80,80,100
15267,80,70,70,60,70,100,90,100,100,100,110
15268,90,60,70,60,70,100,90,80,100,100,100
15269,90,70,70,60,80,100,80,80,80,80,100
15270,110,90,90,100,100,100,80,100,80,80,100
15271,140,100,110,120,90,90,80,100,110,110,110
15272,130,100,110,110,100,90,80,80,110,110,100
15273,130,100,110,110,100,90,80,100,110,110,100
15274,120,100,100,110,110,90,80,100,110,110,100
15275,120,80,90,100,100,90,80,100,120,120,100
15276,110,70,80,90,100,90,80,100,120,120,100
15277,120,70,80,90,100,90,80,100,120,120,100
15278,120,70,80,90,100,90,80,100,140,140,120
15279,130,80,80,90,100,90,80,100,140,140,120
15280,140,80,80,90,100,90,80,100,140,140,110
15281,140,80,80,90,100,90,80,100,140,140,110
15282,140,80,80,90,100,90,80,100,140,140,110
15283,130,80,80,90,90,80,80,100,110,110,110
15284,120,80,80,90,90,80,80,100,110,110,110
15285,110,80,80,80,90,90,90,100,100,100,110
15286,110,80,80,80,90,90,90,100,100,100,110
15287,110,80,80,80,90,90,90,100,100,100,110
15288,110,90,80,90,100,90,90,90,100,100,100
15289,110,80,80,80,90,80,90,40,100,100,110
15290,100,80,80,80,90,80,90,80,80,80,110
15291,100,80,70,70,90,80,90,90,90,90,110
15292,100,80,70,70,90,80,90,90,70,70,70
