,"RanExternal health expenditure per capita, PPP (current international $)",RanGDP (current US$),RanGDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),"RanInternational tourism, number of departures","RanInternational tourism, receipts (% of total exports)","RanMortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",RanOut-of-pocket expenditure (% of current health expenditure),"RanPhysicians (per 1,000 people)",RanPoverty gap at $3.20 a day (2011 PPP) (%),Label,Country Name,Year
80,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,21,2000
81,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,21,2001
82,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,21,2002
83,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,21,2003
84,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,21,2004
85,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,21,2005
86,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,21,2006
87,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,21,2007
88,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,21,2008
89,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,21,2009
90,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,21,2010
91,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,21,2011
92,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,21,2012
93,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,21,2013
94,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,21,2014
95,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,21,2015
96,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,21,2016
97,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,21,2017
98,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,21,2018
99,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,21,2019
100,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,25,2000
101,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,25,2001
102,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,25,2002
103,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,25,2003
104,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,25,2004
105,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,25,2005
106,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,25,2006
107,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,25,2007
108,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,25,2008
109,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,25,2009
110,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,25,2010
111,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,25,2011
112,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,25,2012
113,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,25,2013
114,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,25,2014
115,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,25,2015
116,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,25,2016
117,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,25,2017
118,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,25,2018
119,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,25,2019
120,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,28,2000
121,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,28,2001
122,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,28,2002
123,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,28,2003
124,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,28,2004
125,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,28,2005
126,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,28,2006
127,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,28,2007
128,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,28,2008
129,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,28,2009
130,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,28,2010
131,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,28,2011
132,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,28,2012
133,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,28,2013
134,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,28,2014
135,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,28,2015
136,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,28,2016
137,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,28,2017
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,28,2018
139,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,28,2019
140,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,32,2000
141,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,32,2001
142,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,32,2002
143,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,32,2003
144,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,32,2004
145,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,32,2005
146,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,32,2006
147,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,32,2007
148,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,32,2008
149,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,32,2009
150,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,32,2010
151,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,32,2011
152,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,32,2012
153,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,32,2013
154,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,32,2014
155,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,32,2015
156,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,32,2016
157,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,32,2017
158,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,32,2018
159,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,32,2019
160,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,37,2000
161,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,37,2001
162,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,37,2002
163,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,37,2003
164,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,37,2004
165,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,37,2005
166,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,37,2006
167,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,37,2007
168,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,37,2008
169,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,37,2009
170,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,37,2010
171,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,37,2011
172,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,37,2012
173,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,37,2013
174,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,37,2014
175,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,37,2015
176,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,37,2016
177,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,37,2017
178,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,37,2018
179,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,37,2019
180,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,41,2000
181,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,41,2001
182,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,41,2002
183,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,41,2003
184,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,41,2004
185,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,41,2005
186,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,41,2006
187,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,41,2007
188,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,41,2008
189,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,41,2009
190,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,41,2010
191,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,41,2011
192,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,41,2012
193,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,41,2013
194,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,41,2014
195,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,41,2015
196,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,41,2016
197,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,41,2017
198,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,41,2018
199,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,41,2019
200,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,45,2000
201,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,45,2001
202,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,45,2002
203,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,45,2003
204,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,45,2004
205,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,45,2005
206,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,45,2006
207,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,45,2007
208,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,45,2008
209,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,45,2009
210,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,45,2010
211,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,45,2011
212,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,45,2012
213,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,45,2013
214,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,45,2014
215,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,45,2015
216,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,45,2016
217,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,45,2017
218,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,45,2018
219,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,45,2019
220,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,50,2000
221,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,50,2001
222,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,50,2002
223,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,50,2003
224,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,50,2004
225,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,50,2005
226,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,50,2006
227,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,50,2007
228,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,50,2008
229,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,50,2009
230,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,50,2010
231,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,50,2011
232,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,50,2012
233,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,50,2013
234,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,50,2014
235,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,50,2015
236,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,50,2016
237,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,50,2017
238,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,50,2018
239,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,50,2019
240,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,55,2000
241,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,55,2001
242,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,55,2002
243,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,55,2003
244,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,55,2004
245,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,55,2005
246,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,55,2006
247,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,55,2007
248,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,55,2008
249,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,55,2009
250,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,55,2010
251,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,55,2011
252,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,55,2012
253,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,55,2013
254,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,55,2014
255,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,55,2015
256,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,55,2016
257,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,55,2017
258,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,55,2018
259,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,55,2019
260,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,59,2000
261,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,59,2001
262,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,59,2002
263,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,59,2003
264,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,59,2004
265,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,59,2005
266,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,59,2006
267,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,59,2007
268,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,59,2008
269,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,59,2009
270,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,59,2010
271,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,59,2011
272,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,59,2012
273,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,59,2013
274,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,59,2014
275,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,59,2015
276,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,59,2016
277,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,59,2017
278,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,59,2018
279,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,59,2019
280,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,64,2000
